puzzle,category,time,date,scramble,penalty,comment
"333","Normal","19220","1642606001148","F2 U B2 R2 D B2 U2 B2 D2 L U' B L2 F R2 U L U' F U2","0",""
"555","Normal","227560","1642607147066","L' Bw2 D' Uw2 Fw2 Dw B' Rw' Uw2 L R' F' Uw2 Rw' U Rw2 Uw2 Rw2 Dw' L2 Uw Rw Bw Fw U D' Uw2 Rw' F' Lw2 Fw2 Uw' B2 U R2 B2 Dw U' Rw Lw Fw' Dw2 Bw Uw2 L' D' Uw U' B U' Fw' R Lw Rw' L2 D' Lw' Rw' B' Uw'","0",""
"555","PLL","2180","1642608528621","B2 U2 R2 F2 L2 D' L2 F2 R2 U B2 ","0",""
"555","PLL","2660","1642608542149","L' R U2 L R' D R2 B2 F2 D' F2 U R2 F2 U L2 ","0",""
"555","PLL","2660","1642608556168","F B' R2 F' B U' F2 U' B2 U B2 D' R2 D R2 F2 ","0",""
"555","PLL","1590","1642608567931","L2 F2 U' B2 U F2 U' B2 U L2 ","0",""
"555","PLL","1750","1642608590853","L2 F2 U' B2 U F2 U' B2 U L2 ","0",""
"555","PLL","2410","1642608609700","L R B2 L' R D L2 U2 R2 B2 R2 U2 F2 D' R2 B2 ","0",""
"555","PLL","1680","1642608619808","B2 L2 U' R2 U L2 U' R2 U B2 ","0",""
"555","PLL","2010","1642608673607","B F' R2 U2 B F U' R2 U F2 D' L2 B2 F2 D B2 D ","0",""
"555","PLL","2280","1642608690671","B F L2 D2 B F' D B2 U2 L2 U' B2 D2 R2 D' B2 F2 ","0",""
"555","PLL","1390","1642608700018","U L2 U' L2 D F2 R2 U R2 D' F2 ","0",""
"333","Normal","18650","1642686314435","L2 F2 U2 B2 U F2 R2 B2 L2 U B F R' F L' F2 R2 U' F L' U'","0",""
"333","Normal","19800","1642686354723","F2 L' R D2 L' B2 F2 R' U' L' D R' B' D2 F' R' B R' U'","0",""
"333","Normal","21720","1642686393767","B2 D' B2 F2 U' R2 B2 R2 U' B' R D' B D2 F' U B2 U2 L D2","0",""
"333","Normal","16800","1642686470373","D2 R' U2 L2 B2 L' D2 U2 F2 D2 L U F2 R B' U' F' R' D' F2","0",""
"333","Normal","19890","1642686507406","L D2 L R F2 U2 B2 U2 L B' R D R' B' L U L' D2 B","0",""
"333","Normal","13030","1642686551841","B2 L' U2 L D2 F2 U2 L B L F2 L' U L' D2 L F' D' U","0",""
"333","Normal","18920","1642686649290","F' U2 F' D R2 B' L2 F L' D B' D' F2 R2 D' R2 F2 D' L2","0",""
"333","Normal","18190","1642686723625","R' D2 F2 L2 U2 F2 L' F2 U F2 R2 B' D' L F' U' R F'","0",""
"333","Normal","19520","1642686765218","R2 B2 R2 B2 F' U2 F' D2 L2 F L' U' L' U2 F' D2 R' F2 R2 F","0",""
"333","Normal","20110","1642686842160","U L2 F2 U' L2 R2 D' R2 F2 U2 R B D2 U F' U F2 R B' U'","0",""
"333","Normal","20880","1642686882083","R2 F' D2 R2 F2 R2 U2 F2 D2 B U L' R U' R D2 B R D U","0",""
"333","Normal","18900","1642686926936","L2 U2 B D2 R2 F2 U2 B L2 F U L2 D2 R B2 F R' D U2","0",""
"333","Normal","16730","1642686961887","U2 R2 B L2 F D2 U2 R2 B2 U B' L2 F' R' F R' U' F L'","0",""
"333","Normal","17040","1642686999990","D F2 U2 F U B' R D' L U2 B2 R2 U R2 U' L2 F2 U2 B2 D'","0",""
"333","Normal","21830","1642687046614","D2 L2 R2 F L2 B L2 U' L U B2 F2 L' B2 L R B F","0",""
"333","Normal","18960","1642687082415","B' D' F' R' U2 L2 B' L' F' L2 D R' U2 R F2 U2 B2 U2","0",""
"333","Normal","18410","1642687127212","F' R2 B' D2 B' R2 U2 B' L' B D' B2 F R' F2 U' L2 U2 R","0",""
"333","Normal","17950","1642687257892","R' U' L' D L2 F R' B' R L D' F2 L2 U2 L2 D2 F2 U F2 L2 U","0",""
"333","Normal","18930","1642687362572","D2 L2 R F2 U2 R' D2 F2 D2 L' D F' L' B' U2 R B2 L2 D2 B","0",""
